Year,Country,atc_level,Name,ddd,Percent
2024,Belgium,J01C,"Beta-lactam antibacterials, penicillins",9.962,0.4716304471539404
2024,Belgium,J01D,Other beta-lactam antibacterials,1.085,0.0513591099682772
2024,Belgium,J01E,Sulfonamides and trimethoprim,0.334,0.0157697529429833
2024,Belgium,J01F,"Macrolides, lincosamides and streptogramins",3.793,0.1795748214969166
2024,Belgium,J01G,Aminoglycoside antibacterials,0.024,0.0011300665986041
2024,Belgium,J01M,Quinolone antibacterials,1.301,0.0615851498009351
2024,Belgium,J01R,Combinations of antibacterials,0.0,0.0
2024,Belgium,J01X,Other antibacterials,2.711,0.1283040090780297
2000,Bulgaria,J01A,Tetracyclines,3.26,0.1610635312338454
2000,Bulgaria,J01B,Amphenicols,0.183,0.0090423892383906
2000,Bulgaria,J01C,"Beta-lactam antibacterials, penicillins",8.693,0.4294920934435563
2000,Bulgaria,J01D,Other beta-lactam antibacterials,2.526,0.124804785686975
2000,Bulgaria,J01E,Sulfonamides and trimethoprim,1.133,0.0559488692912259
2000,Bulgaria,J01F,"Macrolides, lincosamides and streptogramins",0.721,0.0356047288039231
2000,Bulgaria,J01G,Aminoglycoside antibacterials,2.117,0.1045944527956152
2000,Bulgaria,J01M,Quinolone antibacterials,1.236,0.0610671086599702
2000,Bulgaria,J01R,Combinations of antibacterials,0.0,0.0
2000,Bulgaria,J01X,Other antibacterials,0.373,0.018382040846498
2001,Bulgaria,J01A,Tetracyclines,3.637,0.1604759828339529
2001,Bulgaria,J01B,Amphenicols,0.148,0.0064960267759761
2001,Bulgaria,J01C,"Beta-lactam antibacterials, penicillins",10.968,0.4840032880393134
2001,Bulgaria,J01D,Other beta-lactam antibacterials,2.503,0.1104502837184994
2001,Bulgaria,J01E,Sulfonamides and trimethoprim,1.306,0.0575969978878932
2001,Bulgaria,J01F,"Macrolides, lincosamides and streptogramins",0.605,0.0266877160964193
2001,Bulgaria,J01G,Aminoglycoside antibacterials,1.549,0.0683145903589239
2001,Bulgaria,J01M,Quinolone antibacterials,1.603,0.0707306646646937
2001,Bulgaria,J01R,Combinations of antibacterials,0.0,0.0
2001,Bulgaria,J01X,Other antibacterials,0.346,0.0152444496243277
2002,Bulgaria,J01A,Tetracyclines,2.798,0.1618198219917407
2002,Bulgaria,J01B,Amphenicols,0.111,0.0063799712134606
2002,Bulgaria,J01C,"Beta-lactam antibacterials, penicillins",8.517,0.4926050267933225
2002,Bulgaria,J01D,Other beta-lactam antibacterials,1.426,0.0824759107658927
2002,Bulgaria,J01E,Sulfonamides and trimethoprim,0.943,0.0545199170136961
2002,Bulgaria,J01F,"Macrolides, lincosamides and streptogramins",0.743,0.04294896370078
2002,Bulgaria,J01G,Aminoglycoside antibacterials,1.361,0.0787059198886482
2002,Bulgaria,J01M,Quinolone antibacterials,1.347,0.0778938835891969
2002,Bulgaria,J01R,Combinations of antibacterials,0.0,0.0
2002,Bulgaria,J01X,Other antibacterials,0.046,0.0026505850432619
2003,Bulgaria,J01A,Tetracyclines,3.067,0.1973842932732442
2003,Bulgaria,J01B,Amphenicols,0.081,0.0051971080478679
2003,Bulgaria,J01C,"Beta-lactam antibacterials, penicillins",6.666,0.4289943753294574
2003,Bulgaria,J01D,Other beta-lactam antibacterials,1.433,0.0921859623309911
2003,Bulgaria,J01E,Sulfonamides and trimethoprim,1.077,0.0692665401292792
2003,Bulgaria,J01F,"Macrolides, lincosamides and streptogramins",1.436,0.0923645049112082
2003,Bulgaria,J01G,Aminoglycoside antibacterials,1.207,0.0776555312478478
2003,Bulgaria,J01M,Quinolone antibacterials,0.439,0.0281994296163136
2003,Bulgaria,J01R,Combinations of antibacterials,0.0,0.0
2003,Bulgaria,J01X,Other antibacterials,0.136,0.0087522551137903
2004,Bulgaria,J01A,Tetracyclines,2.838,0.1726346387546058
2004,Bulgaria,J01B,Amphenicols,0.081,0.0048801210275368
2004,Bulgaria,J01C,"Beta-lactam antibacterials, penicillins",7.727,0.4700177248789262
2004,Bulgaria,J01D,Other beta-lactam antibacterials,1.686,0.1025437415652304
2004,Bulgaria,J01E,Sulfonamides and trimethoprim,0.973,0.0591716271506989
2004,Bulgaria,J01F,"Macrolides, lincosamides and streptogramins",1.018,0.0619166838221302
2004,Bulgaria,J01G,Aminoglycoside antibacterials,0.392,0.0237906128223584
2004,Bulgaria,J01M,Quinolone antibacterials,1.606,0.0976636205376935
2004,Bulgaria,J01R,Combinations of antibacterials,0.0,0.0
2004,Bulgaria,J01X,Other antibacterials,0.122,0.0073812294408194
2005,Bulgaria,J01A,Tetracyclines,2.611,0.1678412824825602
2005,Bulgaria,J01B,Amphenicols,0.081,0.0051847742939204
2005,Bulgaria,J01C,"Beta-lactam antibacterials, penicillins",5.691,0.3658642191740587
2005,Bulgaria,J01D,Other beta-lactam antibacterials,2.077,0.1334999650537622
2005,Bulgaria,J01E,Sulfonamides and trimethoprim,0.879,0.0564965248908195
2005,Bulgaria,J01F,"Macrolides, lincosamides and streptogramins",1.362,0.0875357282683428
2005,Bulgaria,J01G,Aminoglycoside antibacterials,0.347,0.0222632289513537
2005,Bulgaria,J01M,Quinolone antibacterials,2.28,0.1465674789346844
2005,Bulgaria,J01R,Combinations of antibacterials,0.0,0.0
2005,Bulgaria,J01X,Other antibacterials,0.23,0.0147467979504979
2006,Bulgaria,J01A,Tetracyclines,2.555,0.1643547823812828
2006,Bulgaria,J01B,Amphenicols,0.064,0.0041110365991268
2006,Bulgaria,J01C,"Beta-lactam antibacterials, penicillins",6.408,0.412318746523808
2006,Bulgaria,J01D,Other beta-lactam antibacterials,2.245,0.1444525105580035
2006,Bulgaria,J01E,Sulfonamides and trimethoprim,0.0,0.0
2006,Bulgaria,J01F,"Macrolides, lincosamides and streptogramins",1.9,0.1222409821390248
2006,Bulgaria,J01G,Aminoglycoside antibacterials,0.4130000000000001,0.026550176571094
2006,Bulgaria,J01M,Quinolone antibacterials,1.916,0.1232711222974185
2006,Bulgaria,J01R,Combinations of antibacterials,0.0,0.0
2006,Bulgaria,J01X,Other antibacterials,0.042,0.0027006429302416
2007,Bulgaria,J01A,Tetracyclines,2.378,0.1397956976050755
2007,Bulgaria,J01B,Amphenicols,0.064,0.003759816106792
2007,Bulgaria,J01C,"Beta-lactam antibacterials, penicillins",6.892,0.4052374445364496
2007,Bulgaria,J01D,Other beta-lactam antibacterials,2.431,0.1429108830786928
2007,Bulgaria,J01E,Sulfonamides and trimethoprim,0.0,0.0
2007,Bulgaria,J01F,"Macrolides, lincosamides and streptogramins",2.731,0.1605613073311533
2007,Bulgaria,J01G,Aminoglycoside antibacterials,0.41,0.0240562132966447
2007,Bulgaria,J01M,Quinolone antibacterials,2.052,0.1206535432603197
2007,Bulgaria,J01R,Combinations of antibacterials,0.0,0.0
2007,Bulgaria,J01X,Other antibacterials,0.052,0.0030250947848723
2008,Bulgaria,J01A,Tetracyclines,2.194,0.122599290795205
2008,Bulgaria,J01B,Amphenicols,0.057,0.003169087059237
2008,Bulgaria,J01C,"Beta-lactam antibacterials, penicillins",6.928,0.3872161040149147
2008,Bulgaria,J01D,Other beta-lactam antibacterials,2.761,0.1542627183232702
2008,Bulgaria,J01E,Sulfonamides and trimethoprim,0.0,0.0
2008,Bulgaria,J01F,"Macrolides, lincosamides and streptogramins",3.308,0.1848716838326481
2008,Bulgaria,J01G,Aminoglycoside antibacterials,0.391,0.0218533424758048
2008,Bulgaria,J01M,Quinolone antibacterials,2.189,0.1223335793334834
2008,Bulgaria,J01R,Combinations of antibacterials,0.0,0.0
2008,Bulgaria,J01X,Other antibacterials,0.067,0.0036941941654368
2009,Bulgaria,J01A,Tetracyclines,1.643,0.0998101424958162
2009,Bulgaria,J01B,Amphenicols,0.035,0.0020952014527507
2009,Bulgaria,J01C,"Beta-lactam antibacterials, penicillins",5.978,0.3632242745390794
2009,Bulgaria,J01D,Other beta-lactam antibacterials,3.002,0.1823860043799809
2009,Bulgaria,J01E,Sulfonamides and trimethoprim,0.0,0.0
2009,Bulgaria,J01F,"Macrolides, lincosamides and streptogramins",3.294,0.2001354267443272
2009,Bulgaria,J01G,Aminoglycoside antibacterials,0.354,0.0214838051172205
2009,Bulgaria,J01M,Quinolone antibacterials,2.079,0.1262689725346445
2009,Bulgaria,J01R,Combinations of antibacterials,0.0,0.0
2009,Bulgaria,J01X,Other antibacterials,0.076,0.0045961727361804
2010,Bulgaria,J01A,Tetracyclines,1.731,0.1062010881923064
2010,Bulgaria,J01B,Amphenicols,0.04,0.0023964043195054
2010,Bulgaria,J01C,"Beta-lactam antibacterials, penicillins",5.669,0.3478905572267574
2010,Bulgaria,J01D,Other beta-lactam antibacterials,3.101,0.1902684393851845
2010,Bulgaria,J01E,Sulfonamides and trimethoprim,0.0,0.0
2010,Bulgaria,J01F,"Macrolides, lincosamides and streptogramins",3.279,0.20118571289607
2010,Bulgaria,J01G,Aminoglycoside antibacterials,0.328,0.020087523041464
2010,Bulgaria,J01M,Quinolone antibacterials,2.086,0.1279867214884993
2010,Bulgaria,J01R,Combinations of antibacterials,0.0,0.0
2010,Bulgaria,J01X,Other antibacterials,0.065,0.0039835534502127
2011,Bulgaria,J01A,Tetracyclines,1.843,0.10578640777145
2011,Bulgaria,J01B,Amphenicols,0.04,0.002292553401617
2011,Bulgaria,J01C,"Beta-lactam antibacterials, penicillins",5.849,0.3358090904246866
2011,Bulgaria,J01D,Other beta-lactam antibacterials,3.383,0.1942242950600691
2011,Bulgaria,J01E,Sulfonamides and trimethoprim,0.0,0.0
2011,Bulgaria,J01F,"Macrolides, lincosamides and streptogramins",3.539,0.2031952086225318
2011,Bulgaria,J01G,Aminoglycoside antibacterials,0.324,0.0185916336930648
2011,Bulgaria,J01M,Quinolone antibacterials,2.373,0.1362213216940424
2011,Bulgaria,J01R,Combinations of antibacterials,0.0,0.0
2011,Bulgaria,J01X,Other antibacterials,0.068,0.0038794893325383
